2024-04-10 07:47:30 startup archives install
2024-04-10 07:47:30 install base-passwd:amd64 <none> 3.5.51
2024-04-10 07:47:30 status half-installed base-passwd:amd64 3.5.51
2024-04-10 07:47:31 status unpacked base-passwd:amd64 3.5.51
2024-04-10 07:47:31 configure base-passwd:amd64 3.5.51 3.5.51
2024-04-10 07:47:31 status half-configured base-passwd:amd64 3.5.51
2024-04-10 07:47:31 status installed base-passwd:amd64 3.5.51
2024-04-10 07:47:31 startup archives install
2024-04-10 07:47:32 install base-files:amd64 <none> 11.1+deb11u9
2024-04-10 07:47:32 status half-installed base-files:amd64 11.1+deb11u9
2024-04-10 07:47:32 status unpacked base-files:amd64 11.1+deb11u9
2024-04-10 07:47:32 configure base-files:amd64 11.1+deb11u9 11.1+deb11u9
2024-04-10 07:47:32 status half-configured base-files:amd64 11.1+deb11u9
2024-04-10 07:47:32 status installed base-files:amd64 11.1+deb11u9
2024-04-10 07:47:33 startup archives install
2024-04-10 07:47:33 upgrade dpkg 1.20.13 1.20.13
2024-04-10 07:47:33 status half-configured dpkg 1.20.13
2024-04-10 07:47:33 status unpacked dpkg 1.20.13
2024-04-10 07:47:33 status half-installed dpkg 1.20.13
2024-04-10 07:47:33 status unpacked dpkg:amd64 1.20.13
2024-04-10 07:47:34 configure dpkg:amd64 1.20.13 1.20.13
2024-04-10 07:47:34 status half-configured dpkg:amd64 1.20.13
2024-04-10 07:47:34 status installed dpkg:amd64 1.20.13
2024-04-10 07:47:34 startup archives install
2024-04-10 07:47:35 install libc6:amd64 <none> 2.31-13+deb11u8
2024-04-10 07:47:35 status half-installed libc6:amd64 2.31-13+deb11u8
2024-04-10 07:47:35 status unpacked libc6:amd64 2.31-13+deb11u8
2024-04-10 07:47:35 configure libc6:amd64 2.31-13+deb11u8 2.31-13+deb11u8
2024-04-10 07:47:36 status half-configured libc6:amd64 2.31-13+deb11u8
2024-04-10 07:47:36 status installed libc6:amd64 2.31-13+deb11u8
2024-04-10 07:47:36 startup archives install
2024-04-10 07:47:36 install perl-base:amd64 <none> 5.32.1-4+deb11u3
2024-04-10 07:47:36 status half-installed perl-base:amd64 5.32.1-4+deb11u3
2024-04-10 07:47:37 status unpacked perl-base:amd64 5.32.1-4+deb11u3
2024-04-10 07:47:37 configure perl-base:amd64 5.32.1-4+deb11u3 5.32.1-4+deb11u3
2024-04-10 07:47:37 status half-configured perl-base:amd64 5.32.1-4+deb11u3
2024-04-10 07:47:37 status installed perl-base:amd64 5.32.1-4+deb11u3
2024-04-10 07:47:37 startup archives install
2024-04-10 07:47:38 install mawk:amd64 <none> 1.3.4.20200120-2
2024-04-10 07:47:38 status half-installed mawk:amd64 1.3.4.20200120-2
2024-04-10 07:47:38 status unpacked mawk:amd64 1.3.4.20200120-2
2024-04-10 07:47:38 configure mawk:amd64 1.3.4.20200120-2 1.3.4.20200120-2
2024-04-10 07:47:38 status half-configured mawk:amd64 1.3.4.20200120-2
2024-04-10 07:47:38 status installed mawk:amd64 1.3.4.20200120-2
2024-04-10 07:47:38 startup archives install
2024-04-10 07:47:39 install debconf:all <none> 1.5.77
2024-04-10 07:47:39 status half-installed debconf:all 1.5.77
